Animal,Website,Actions,Duplicate Check,Fold,Validation,Dog,Unnamed: 7,Unnamed: 8,Unnamed: 9,Cat,Unnamed: 11,Unnamed: 12,Unnamed: 13
Dog,https://www.youtube.com/watch?v=EtiIE1Yzlxs,"[(""Sitting"", 2:31-2:36), (""Standing(on all fours)"", 2:44-2:49), (""Sniffing"", 3:03-3:11)]",Unique,1.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=8CYp7Jt3kLo,"[(""Lying"", 6:07-6:17)]",Unique,2.0,V,,,,,,,,
Dog,https://www.youtube.com/watch?v=uaPZtrMBZDQ,"[(""Running"", 0:11-0:15)]",Unique,3.0,V,,,,,,,,
Dog,https://www.youtube.com/watch?v=_-6dq7rvPpQ,"[(""Walking"", 0:44-0:49)]",Unique,3.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=ymU8htqPUoc,"[(""Standing(on all fours)"", 3:59-4:05)]",Unique,1.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=c23q2RztR_U,"[(""Walking"", 0:00-0:06), (""Walking"", 0:13-0:18), (""Sniffing"", 1:20-1:26), (""Sniffing"", 1:39-1:43), (""Walking"", 1:58-2:06), (""Walking"", 2:52-2:59), (""Walking"", 3:31-3:35)]",Unique,2.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=ZQyeUdA9Png,"[(""Walking"", 0:00-0:25)]",Unique,3.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/oc5PqaiYLoQ,"[(""Standing(on all fours)"", 0:00-0:10)]",Unique,2.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=mxOqlzm3mtE,"[(""Walking"", 0:00-0:15), (""Walking"", 0:35-1:00)]",Unique,3.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=vdLOsFGORIE,"[(""Lying"", 0:32-0:37), (""Lying"", 0:59-1:03)]",Unique,1.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/DgTu_TZeiMA,"[(""Standing(on all fours)"", 0:00-0:04)]",Unique,5.0,V,,,,,,,,
Cat,https://www.youtube.com/watch?v=ofmAreo7SH0,"[(""Lying"", 0:06-0:12)]",Unique,2.0,V,,,,,,,,
Dog,https://www.youtube.com/watch?v=OkIa0GXfto0,"[(""Walking"", 0:00-0:18)]",Unique,4.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/9Vggf7EA2C4,"[(""Sitting"", 0:00-0:04)]",Unique,2.0,V,,,,,,,,
Dog,https://www.youtube.com/watch?v=7eJ7cXRnbfc,"[(""Sitting"",0:03-0:10)]",Unique,3.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=_pqYQQrnOqc,"[(""Sitting"",0:01-0:07)]",Unique,4.0,V,,,,,,,,
Cat,https://www.youtube.com/shorts/l7gN1UI8Zi8,"[(""Seizures"", 0:00-0:21)]",Unique,2.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=KWk4yxWitck,"[(""Running"", 1:39-1:43)]",Unique,2.0,V,,,,,,,,
Dog,https://www.youtube.com/watch?v=HZJUQ9Bwo2U,"[(""Lying"", 0:00-0:17)]",Unique,5.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/nMklRskLcv0,"[(""Sitting"", 0:02-0:09)]",Unique,5.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/xy_ce3ASXrg,"[(""Lying"", 0:00-0:08)]",Unique,5.0,V,,,,,,,,
Dog,http://youtube.com/shorts/oZbblx-FELw,"[(""Sitting"", 0:00-0:08)]",Unique,1.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/hZWhVQafdmo,"[(""Seizures"", 0:00-0:26)]",Unique,4.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/-6mR9SJl27s,"[(""Movement Disorder"", 0:05-0:09)]",Unique,1.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=uVkS_SRlkK0,"[(""Standing(on all fours)"",0:00-0:13), (""Sitting"", 0:48-1:08), (""Sniffing"", 1:12-1:18)]]",Unique,4.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/NKXIJrXFNrk,"[(""Lying"", 0:00-0:11)]",Unique,4.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/Rn9YM8dwy9Q,"[(""Sitting"", 0:00-0:07)]",Unique,2.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/cD3j6inw1Qg,"[(""Sniffing"", 0:52-0:56)]",Unique,1.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=elpW0BsA-LQ,"[(""Lying"", 0:38-0:43), (""Sniffing"", 0:53-1:04), (""Lying"", 1:21-1:28)]",Unique,3.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=c-FfLRTGbi4,"[(""Seizures"", 0:12-0:17), (""Sniffing"", 2:35-2:40)]",Unique,3.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=R_JyureheBk,"[(""Lying"", 0:42-0:49), (""Seizures"", 1:48-2:01)]",Unique,4.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=Dj5o17kMBDU,"[(""Standing(on all fours)"", 0:04-0:09)]",Unique,4.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/MmmVybkAtrs,"[(""Sniffing"", 0:08-0:14)]",Unique,2.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/vxT9Bpw5jtg,"[(""Movement Disorder"", 0:01-0:09)]",Unique,3.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/39JWgknjHSE,"[(""Movement Disorder"", 0:01-0:12)]",Unique,2.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=6qalg4a20SI,"[(""Movement Disorder"", 0:00-0:05)]",Unique,5.0,V,,,,,,,,
Dog,https://www.youtube.com/watch?v=QLL7HxJdxpY,"[(""Vomiting"", 0:00-0:10)]",Unique,1.0,V,,,,,,,,
Dog,https://www.youtube.com/watch?v=CR_5uZkcADw,"[(""Vomiting"", 1:38-1:42)]",Unique,2.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=w_odajz4FgI,"[(""Sitting"", 0:14-0:34)]",Unique,3.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/fZ85wDcNa2E,"[(""Vomiting"", 0:00-0:17)]",Unique,1.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=PRDgV0O0z8A,"[(""Vomiting"", 0:00-0:10)], [(""Vomiting"", 0:14-0:22)], [(""Vomiting"", 2:24-2:38)]",Unique,2.0,,,,,,,,,
Dog,https://www.youtube.com/watch?v=PV-JUcbAHb4,"[(""Vomiting"", 1:30-1:35)], [(""Vomiting"", 1:47-1:52)]",Unique,5.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/x77ly5B_Wq0,"[(""Walking"",0:01-0:05)]",Unique,1.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/sSD8yefg5T0,"[(""Seizures"", 0:00-0:22)]",Unique,2.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=qHexBb35ens,"[(""Walking"", 0:01-0:14)]",Unique,2.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=602UxE0w_sY,"[(""Lying"", 0:00-1:10), (""Seizures"", 1:16-1:25)]",Unique,5.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=8pNpi2jnQLk,"[(""Seizures"", 0:00-0:09)]",Unique,3.0,V,,,,,,,,
Cat,https://www.youtube.com/watch?v=cm74P-llas4,"[(""Running"", 1:22-1:27)]",Unique,3.0,V,,,,,,,,
Cat,https://www.youtube.com/watch?v=XVO9CS8D4hQ,"[(""Running"", 0:04-0:23)]",Unique,1.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/EZvljEZ2Fe8,"[(""Running"", 0:08-0:12)]",Unique,2.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=1sLcn60qYUo,"[(""Seizures"", 0:06-0:10)]",Unique,2.0,V,,,,,,,,
Cat,https://www.youtube.com/watch?v=6IPd5sqts08,"[(""Walking"", 0:17-0:21)]",Unique,2.0,V,,,,,,,,
Cat,https://www.youtube.com/shorts/4FIDvS3TMvc,"[(""Standing(on all fours)"", 0:05-0:09)]",Unique,4.0,V,,,,,,,,
Cat,https://www.youtube.com/shorts/Q2xwJYYz3gs,"[(""Walking"", 0:00-0:05)]",Unique,3.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/_VMCLPKRkg0,"[(""Running"", 0:00-0:06)]",Unique,1.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/TfkqFKhvB-w,"[(""Sniffing"", 0:01-0:16)]",Unique,2.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=cEK6t6pHWVo,"[(""Sitting"", 0:00-0:04), (""Sitting"", 0:10-0:15)]",Unique,1.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/KJXIFTcAIF0,"[(""Running"", 0:01-0:07)]",Unique,2.0,V,,,,,,,,
Cat,https://www.youtube.com/watch?v=JrD6v0UgxIw,"[(""Lying"", 0:00-0:04)]",Unique,1.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=z--vkqB-m1o,"[(""Standing(on all fours)"", 0:14-0:21)]",Unique,3.0,,,,,,,,,
Dog,https://www.youtube.com/shorts/B9mmrVAlUOA,"[(""Walking"", 0:00-0:06)]",Unique,2.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/ABGcNJKiIx4,"[(""Walking"", 0:03-0:07)]",Unique,4.0,V,,,,,,,,
Cat,https://www.youtube.com/shorts/UxrjCrxivyo,"[(""Walking"", 0:01-0:05)]",Unique,5.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/3pBykXRUs9g,"[(""Sniffing"", 0:01-0:05)]",Unique,5.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/yDhLnOg-uaU,"[(""Sniffing"",0:00-0:04)]",Unique,4.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=cUMjj0y31cc,"[(""Sniffing"", 0:01-0:07)]",Unique,3.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=wyAsjH76n5I,"[(""Sniffing"", 0:17-0:21)]",Unique,2.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=Q8ynsUc6l4s,"[(""Sniffing"", 0:00-0:07), (""Sniffing"", 1:04-1:08), (""Sniffing"", 1:12-1:20)]",Unique,3.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/xG4KlztZlBE,"[(""Sniffing"", 0:08-0:12)]",Unique,1.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=R3-OqnDOyFc,"[(""Movement Disorder"", 0:00-0:05)]",Unique,5.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/C-15ttuTAeA,"[(""Sniffing"", 0:02-0:06)]",Unique,5.0,V,,,,,,,,
Cat,http://youtube.com/watch?v=ZvM90bA-i-g,"[(""Sitting"", 0:51-1:20)]",Unique,5.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=Ov7pwUl2GOI,"[(""Standing(on all fours)"", 0:23-0:34), (""Lying"", 0:42-0:59)]",Unique,1.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/HENZ742XTsc,"[(""Lying"", 0:00-0:08)]",Unique,5.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/pnSBrReuzAw,"[(""Sitting"", 0:00-0:07)]",Unique,1.0,V,,,,,,,,
Cat,https://www.youtube.com/shorts/VB6i08FsyaU,"[(""Walking"", 0:03-0:08)]",Unique,1.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/Wb6hlcIdSWs,"[(""Sitting"", 0:00-0:13)]",Unique,1.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=YSOaiaYvaVA,"[(""Lying"", 8:47-8:52)]",Unique,4.0,V,,,,,,,,
Cat,https://www.youtube.com/shorts/RBfnlSwc0U0,"[(""Sitting"", 0:00-0:10)]",Unique,1.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/DkQahADEKWw,"[(""Lying"", 0:00-0:07)]",Unique,3.0,V,,,,,,,,
Cat,https://www.youtube.com/shorts/BqmzS9mYrjE,"[(""Sitting"", 0:00-0:05)]",Unique,5.0,V,,,,,,,,
Cat,https://www.youtube.com/shorts/zOpVSWlFFfM,"[(""Sitting"", 0:00-0:13)]",Unique,5.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/A1bdXv_DGnI,"[(""Standing(on all fours)"", 0:00-0:07)]",Unique,2.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=mGIwWstcgp0,"[(""Standing(on all fours)"", 0:00-0:09)]",Unique,4.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=WA0W5YOMlEo,"[(""Sitting"", 2:09-2:18)], [(""Sitting"", 2:36-2:48)], [(""Lying"", 2:53-3:02)], [(""Lying"", 7:14-7:20), (""Lying"", 10:33-10:45)]",Unique,2.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/FXRqAaolWKo,"[(""Standing(on all fours)"", 0:00-0:07)]",Unique,1.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/LflsT1cjNe8,"[(""Vomiting"", 0:01-0:06)]",Unique,2.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/w3UTeEpBx_k,"[(""Vomiting"", 0:03-0:17)]",Unique,2.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=RPxX8E4rczk,"[(""Vomiting"", 0:04-0:12)]",Unique,1.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=nZsWVrp1kzc,"[(""Vomiting"", 0:01-0:15)], [(""Vomiting"", 0:20-0:26)], [(""Vomiting"", 0:36-0:46)]",Unique,1.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/-LBBiPaW4EA,"[(""Coughing"", 0:05-0:09)]",Unique,2.0,V,,,,,,,,
Cat,https://www.youtube.com/watch?v=ZY8NR9pdJL4,"[(""Coughing"", 0:01-0:34)]",Unique,1.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=bDcagB8FDaM,"[(""Sniffing"", 0:00-0:06), (""Walking"", 4:41-4:50)], [(""Walking"", 5:44-5:48)], [(""Walking"", 5:52-5:56)]",Unique,3.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=0jQUyKIchC4,"[(""Coughing"", 0:00-0:16)]",Unique,1.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/Xj1TG9M7B5c,"[(""Coughing"", 0:06-0:16)]",Unique,5.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/G6lozzXPigM,"[(""Vomiting"", 0:00-0:09)]",Unique,5.0,,,,,,,,,
Cat,https://www.youtube.com/watch?v=WwliFQELwy4,"[(""Coughing"", 0:00-0:04)]",Unique,1.0,V,,,,,,,,
Cat,https://www.youtube.com/watch?v=3yWbFZa9QNw,"[(""Coughing"", 0:05-0:12)]",Unique,5.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/DU_-EREBw4I,"[(""Movement Disorder"", 0:00-0:10)]",Unique,4.0,V,,,,,,,,
Cat,https://www.youtube.com/watch?v=cO-GWFcThJo,"[(""Standing(bipedal)"", 0:17-0:22)], [(""Standing(bipedal)"", 0:23-0:30)], [(""Standing(bipedal)"", 0:35-0:49)], [(""Standing(bipedal)"", 0:53-1:00)], [(""Standing(bipedal)"", 1:17-1:26)], [(""Standing(bipedal)"", 1:28-1:41)],[(""Standing(bipedal)"", 1:43-1:51)], [(""Standing(bipedal)"", 2:27-2:31)], [(""Standing(bipedal)"", 2:43-2:49)], [(""Standing(bipedal)"", 2:51-2:59)], [(""Standing(bipedal)"", 3:01-3:07)], [(""Standing(bipedal)"", 3:10-3:15)], [(""Standing(bipedal)"", 3:17-3:21)], [(""Standing(bipedal)"", 3:23-3:32)], [(""Standing(bipedal)"", 3:34-3:42)], [(""Standing(bipedal)"", 3:45-3:53)], [(""Standing(bipedal)"", 4:28-4:33)], [(""Standing(bipedal)"", 4:51-5:10)], [(""Standing(bipedal)"", 5:15-5:21), (""Standing(bipedal)"", 5:23-5:45)], [(""Standing(bipedal)"", 5:47-6:02)]",Unique,5.0,,,,,,,,,
Cat,https://www.youtube.com/shorts/nYQM_-SvuF4,"[(""Movement Disorder"", 0:12-0:20)]",Unique,3.0,,,,,,,,,
